Speed,EncodedPolyLine
47.85,amswFheobMzAn@nBHdD]rE{@hGaAjEq@bAc@pAs@x@}@~AyBhBaBfB{@vBU~ADpBNnCXnB`@zCpAtEdCjE`CxBhAvAl@hC\pCPbDPlDPpDZ|B\|Cz@fA\XVbGzBpElBfIfDpAz@dBvBl@lAf@dC`@`EVtKXnIj@dKt@vN|@tL|AvSh@lH
44.74,iaxwF|tkbMhBnCtChChGpEjGxE~CvBxEnGlGhFrA|AfAp@hEdEbGtEpF~DzE|DvGhFlGhG~CxB|EjC~BfA`Dv@zMfBxAd@bChApBrA~DfC
31.07,w~mwFjisbMXnEXdCh@bCf@zAd@jA^r@
3.11,e_nwFnisbMf@fHn@zCr@lCzA|ChBfEdFfLzE|I`GlKfFxJpAbCl@zAb@hBdAhHd@zD
31.69,cnlwFhuvbMc@xE_@jB}AfCiCbBgCbAaDf@mBJe@?qA[wA_@aBe@y@c@eBi@
44.74,ue_wFbfwbMyBJyAX_Bp@oBhBiD|FmGxL_BzBuAbAoBv@mBNiBMiCaAuCcCuD_EmMiM{V{Wq~@_aAmb@wc@qB_BkDsA{BQkDN}FrBqX|NsFvC_FnCuAn@
47.22,oz{vFffybMuQuNmZsVsFyC}D}AeLmDeO_E{JkCaEg@
42.25,omgwFfhtbMeDnAaDbB_F|CqDzC_ARwAQqBy@qDuAmVoJkK}DsK_EcBc@yBAuBb@yBt@
47.85,_{{vFjgybMoQ}NwZwVwEkCmEeBgLiD{OuDwIcCkDa@
44.12,ud_wF|gwbMgCCwATcBr@_BvAqDhGmGtL{AxB}AlAsBt@uBViCYeCy@wBqAkCeCeOcP_WgXm~@aaAmb@yc@cBuAwCqAmCUoDPuFdBsX`OwFlCaFzC{BvA
42.87,{izvFxx{bMoMkl@_AiB_BaBqFkEwDgEkCeDcKiJ
39.77,kizvFrx{bMqMol@cAsByAcBsFkEoCgE}CqD_LeJ
49.09,axhxF~zfbMkCfHeHfTyBbQeAtJgBvPgExb@aBhN}AbNuD~Yq@|Da@`DQpCY|F
49.71,wtgxFhptaMgKsBkTyEkJw@uTy@aGqA}G{CcFyEmIcLuFyEid@a^oZeY
67.73,_ugxFlptaMlJj@bY[rKeAdKgBdOgDnR}A
0,kugxFzqtaMaKsBaTaFgJ_AwTy@iGkA{HwDgFuEeIwKuJiI_`@sZoZ{X
70.21,eugxFxqtaMnJp@`I?hU_AfIaAtVeFzHkArIs@
42.25,_tdxFhdtaMjCOxHMvGAxN\zU`A|AA
0,obmxF`gqaM}I_J}CkBgEsA{D_@aMW}FCaEm@yHoBsXqG}M{CwH{@qFMgFToG~@qJjBeErAuDr@sAPiDOcBa@iFwAsEoAyDe@uGMaCK{C_AiDcBkFsBcHaBsDe@_DK}BR}DbAyBv@sBHiB[wLwDi]wHgHyB}HcDiH{D_EeAeCo@{B{AwAcB{BsFkBwB{B}AaFwCiFoFaBoAwBc@iBKyCp@}B|AaCdCkAdCmBdFgBfDyCpB_DX
44.74,k_rwF|f|aMcBgGo@wCqK{g@uJ_d@wCuOuBuJ}D_TgAwKcA}G
50.95,shtwFxckbMTmJ_AiK?}BvAwNlBsNrCqJ`GoQjAcFl@mE~@oM~Eqe@xBgSl@eD|@mDbBiEbByCjIoLjB_DbAgC`AsDbAgFnBqKdCwO~@kEbBwErHiN~AmDz@_CdAsDbAqGz@sOxAe\ZwJCwF]eEc@qCaAyDkB{EiEkIk@_BgAoE}@kIw@gS]_Em@kD{ByI
59.03,_pswFfewaMtApJv@rIh@nDlFbXhH`]bJla@|@`FbHz\fBvG
50.95,c`rwF~g|aMbClIr@vDd@rIXjJZfFp@rFbA`Ed@rAdE`ItBnFtA|Ff@~EJhCAnDoCrq@YjEcA`GsA`FcB~DsIdPmBnFmAfGsAfJoFfYkB~EeMlQoA~BgAfCu@|BaA`EuEh_@{AtQcAtIaAnN[dCgAfFqJfZcAdE}ArMoA~KIrABjDT~EHzM
49.09,kztwFzogaMqFeOu@wC_DeQcFwXyAoF{CkIaAmDu@aEiDeTiAeL]iDg@mEqA{E_B_EeCgEgGsKiLmScIkNoH}N}AeEaAaEqC_KqAuDaCsE_EgHqByEaBiGw@kDi@wE
50.95,}uvwFlebaMkMcUcIkNoH}N}AeEaAaEqC_KqAuDaCsE_EgHqByEaBiGw@kDi@wE
42.87,iowwF~nsbMoObg@yH|VeY|}@
26.72,irwwFpssbMyLlb@wHzVmYv}@
39.77,knwwFlosbMcP`g@yHzVcY|}@
21.13,mkwwFvqsbMsQbh@oIlTmYp}@
54.06,u}hwFlv~`M{@a@oB{A_BiBkAgB??g@m@cBw@oAUcBLo@VmA`AoEtEcBfAoBj@U???wI\gD?_b@z@m`AjAyERaC\{DfAoDxA
54.06,w_iwFtv~`MbBp@bJbFbN`JlC~BhJtJfFrEdHvFtDhCnW~OtAp@nE~CfB`BjBvBlCxGXlALrB}@xXCby@KpDyBva@
37.9,cppxF`|_bMmDuFkBaEkCiIkAcGcBmKkAmEwAeDwAeCkB_CmB_CsDmDkZgY{EcCuDwA}GmAmEWs`@uDgP}AsEyA_CaBuBsBuCkD
